word,cluster_label,cluster_size
คู่ต่อสู้,2,198
เจ้าหญิง,1,223
เชษฐา,1,223
อินทราภิเษก,3,214
จับนาง,3,214
ขุนช้าง,3,214
คุณูปการ,0,265
รื่นเริง,1,223
ติดมือ,0,265
ตัวตน,3,214
หลักฐาน,3,214
ขนบธรรมเนียมประเพณี,0,265
ศรนาคบาศ,3,214
รู้คุณค่า,3,214
อุบาย,3,214
มรดกภูมิปัญญาทางวัฒนธรรม,2,198
ตารีบุหงา,3,214
นิมิต,3,214
ปรศุราม,3,214
เครื่องแบบ,0,265
เครื่องมือ,0,265
ตามคำสั่ง,1,223
เพลงกลม,1,223
สีทอง,2,198
ร้อนแรง,1,223
ปราชัย,1,223
อาณาจักร,2,198
นครพนม,3,214
พิธีกรรม,3,214
แต่งตัว,1,223
หญิงสาว,1,223
หลักปฏิบัติ,2,198
ศิลปะป้องกันตัว,1,223
นักษัตร,0,265
ชุมนุม,2,198
วิรุณจำบัง,2,198
ความว่องไว,0,265
สี่ภาค,0,265
พระพุทธรูป,0,265
สุรินทร์,2,198
อิริยาบถ,2,198
ความไพเราะ,3,214
ภูเขา,0,265
เข้าเฝ้า,3,214
บริเวณ,0,265
วาดภาพ,3,214
เพลงรำซิมารำ,0,265
เชื้อชาติ,0,265
สร้างสรรค์,1,223
ฝั่งน้ำ,0,265
ความเคารพ,3,214
มือเปล่า,2,198
โบราณวัตถุ,1,223
นางเอก,1,223
การละเล่น,0,265
บุคคล,3,214
มโนราห์,1,223
แกล้งทำ,1,223
องค์ปะตาระกาหลา,0,265
โลดโผน,3,214
การแสดง,0,265
สมัยศรีวิชัย,0,265
ความบันเทิง,3,214
สัตว์น้ำ,3,214
ทางการ,1,223
ศิลปหัตถกรรม,1,223
ทางวัฒนธรรม,1,223
ความประทับใจ,1,223
สายสืบ,2,198
ดนตรีพื้นบ้าน,3,214
เพลงงามแสงเดือน,3,214
ขับไล่,2,198
ของที่ระลึก,3,214
สนุกสนาน,3,214
พระราชพิธี,0,265
ชาวเขา,0,265
จีนรำพัด,0,265
สวามี,3,214
รูปแบบ,0,265
ไทยจิตรลดา,1,223
เถิดเทิง,2,198
ระดับชาติ,0,265
อนุชา,1,223
ตัวต่อตัว,0,265
อาชีพ,2,198
อิเหนา,2,198
แต่งกายยืนเครื่องพระ,1,223
พลับพลา,0,265
ผีภู,3,214
แห่งชาติ,2,198
สุครีพ,1,223
หลงใหล,3,214
วาจา,1,223
ความมีน้ำใจ,3,214
ขับลำ,0,265
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
เกียรติยศ,3,214
แผ่อิทธิพล,2,198
ความสำคัญ,1,223
การศึก,0,265
สาวงาม,3,214
ศิลปวัฒนธรรม,0,265
ต้นรัง,0,265
สำเภา,3,214
กลองยาว,0,265
อาภรณ์,1,223
นายขวัญ,0,265
ไส้กะลา,0,265
ได้ยิน,1,223
มารดา,0,265
มูลเหตุ,1,223
มรกต,3,214
เริงใจ,2,198
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
ที่มา,0,265
สิ่งศักดิ์สิทธิ์,0,265
กสิกรรม,0,265
ละครชาตรี,0,265
พระอุโบสถ,3,214
ชีวิต,1,223
มีแบบแผน,3,214
หล่อสำริด,2,198
เจ้าที่เจ้าทาง,0,265
แนวความคิด,2,198
ราชสำนัก,1,223
นนทก,1,223
มังกรกัณฐ์,1,223
เพลงสำเนียงลาว,1,223
ยั่วเย้า,2,198
รูปร่าง,1,223
ฮินดู,1,223
ฟ้อนรำ,0,265
วรรณคดี,3,214
ของป่า,3,214
พราหมณ์,3,214
ผู้หญิง,1,223
ระบำ,0,265
จังหวัด,3,214
วิดน้ำ,1,223
รับอาสา,1,223
เจ้าเมือง,3,214
อสูร,2,198
เพทาย,3,214
เครื่องดนตรีตะวันตก,0,265
ขึ้นทะเบียน,0,265
นิสัย,0,265
สังข์ทอง,0,265
รุ่นหลัง,2,198
เทพบุตร,0,265
มโนห์รา,1,223
การบรรเลง,3,214
เพลงสากล,3,214
เข้าพบ,1,223
สังสรรค์,2,198
บุหรงซีงอ,2,198
มีวัฒนธรรม,1,223
แผ่นดิน,2,198
สุทธาวาส,1,223
อาหาร,0,265
ทิศตะวันตก,0,265
ปางลีลา,1,223
เขาอังกาศ,1,223
อเนก,3,214
กระบวนท่า,1,223
พระยา,0,265
กรุงเทพมหานคร,0,265
ไทยรามัญ,0,265
เมืองหลวง,3,214
ชาวพื้นเมือง,2,198
จิตรกรรม,1,223
สิริมงคล,3,214
นครราชสีมา,1,223
ชายแดน,2,198
แหลมมลายู,1,223
พระพี่เลี้ยง,0,265
ดวงแก้ว,0,265
กราววีรชัยลิง,3,214
อ่อนช้อย,0,265
สะล้อ,2,198
สกลนคร,2,198
สำนึก,1,223
กลองสะบัดชัย,2,198
มุสลิม,3,214
ชั้นเดียว,2,198
ศักดิ์สิทธิ์,0,265
การแสดงพื้นเมือง,0,265
ชาวบ้าน,3,214
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
ระบำโบราณคดี,0,265
เกียรติศักดิ์ไทย,3,214
โรงละครแห่งชาติ,2,198
การเดินทาง,2,198
ทศกัณฐ์,0,265
มีอายุ,0,265
ลงกา,1,223
ก้อนหิน,1,223
โบราณสถาน,3,214
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
สวยงาม,2,198
รูปทอง,0,265
ผู้เชี่ยวชาญ,2,198
พระจันทร์,0,265
นางสีดา,0,265
ภาษา,0,265
ผ้าไหม,3,214
พระลาน,0,265
ประดุจ,2,198
อัญมณี,2,198
ความเข้มแข็ง,1,223
ข้าศึก,0,265
ชั้นเชิง,3,214
เสียงดนตรี,1,223
มนุษยชาติ,1,223
กิริยา,1,223
เจ้าดารารัศมี,0,265
ภูมิปัญญา,3,214
แนวคิด,1,223
พระราชวังบวรสถานมงคล,0,265
ลีลา,3,214
สายน้ำ,1,223
กระทุ้ง,2,198
ซุกซน,2,198
จัดแสดง,3,214
ความสัมพันธ์,1,223
ปารวตี,2,198
ต้นแบบ,1,223
สมมุติเทพ,0,265
ทำพิธี,3,214
เนื้อเรื่อง,0,265
อุณรุท,1,223
พี่เลี้ยง,0,265
ละคร,3,214
บุรุษ,2,198
หางนกยูง,0,265
ค้าขาย,3,214
ความร่มเย็น,3,214
วัฒนธรรม,0,265
ผู้แสดง,3,214
เสนียดจัญไร,2,198
กิริยาอาการ,2,198
ช่อดอกไม้,3,214
ชาติพันธุ์,1,223
บัญชา,2,198
การแต่งกาย,1,223
การแปร,1,223
ความหลากหลาย,0,265
การดำเนินชีวิต,2,198
ชั้นใน,3,214
พระคุณ,1,223
รับใช้,3,214
พระบรมราชชนนีพับปีหลวง,0,265
ร่มพระบารมี,0,265
โคมเวียน,1,223
การร้อง,1,223
นายแก้ว,0,265
แปลงตัว,0,265
พระตำหนัก,0,265
พระลอ,0,265
พระนารายณ์,0,265
ตัวละคร,1,223
เพลงหญิงไทยใจงาม,1,223
ศูรปนขา,3,214
กระบวน,1,223
เครื่องประดับ,0,265
ทิพยวิมาน,0,265
พาหนะ,1,223
การทำขวัญ,1,223
ขบวนแห่,2,198
เขาไกรลาส,3,214
จำแลง,0,265
หยอกล้อ,2,198
ผู้ประดิษฐ์,1,223
ร่างกาย,0,265
อุปสรรค,1,223
ลาวครั่ง,0,265
ยักษิณี,0,265
จนตาย,0,265
เบิกโรง,3,214
การประกอบอาชีพ,2,198
ประเทศ,1,223
ผู้ชม,1,223
การร่อนแร่,3,214
แตกทัพ,0,265
นาฏศิลป์พื้นบ้าน,1,223
อาวุธ,1,223
ความงาม,1,223
ประกอบอาชีพ,3,214
ผู้แสดงฝ่ายชาย,3,214
ร่มเย็น,2,198
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
เชิงบันได,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
เบญกาย,0,265
เพลงเร็ว,3,214
พลวานร,1,223
ดำรงตำแหน่ง,0,265
ท้าวสัทธาสูร,0,265
บุปเพสันนิวาส,1,223
พระพาย,0,265
ประชากร,1,223
กะลา,2,198
อินทรชิต,1,223
บรรพต,1,223
ดินดาล,0,265
เครื่องดนตรี,3,214
ทำนองเพลง,3,214
ประทับ,3,214
ขนเพชร,3,214
อันหนึ่งอันเดียว,0,265
ธิเบศร์,3,214
มวยไทย,3,214
ร้ายกาจ,2,198
ความชำนาญ,2,198
จับระบำ,1,223
ไตรรงค์,3,214
พระราม,2,198
คู่ใจ,0,265
การุณราช,0,265
พุทธศตวรรษ,3,214
แสงจันทร์,0,265
ขั้นตอน,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ความตาย,1,223
ทับทิม,0,265
หมากกั๊บแก๊บ,2,198
ท่าทาง,2,198
วิรุญมุข,1,223
เจ้าเซ็น,0,265
ภาชนะดินเผา,1,223
ภูมิภาค,0,265
สะเดาะ,3,214
โบราณ,0,265
สิบแปดมงกุฎ,0,265
ขอความช่วยเหลือ,3,214
ข้าหลวง,3,214
ไม้สั้น,0,265
ความเพลิดเพลิน,2,198
ไทยจักรี,2,198
ต้นขา,2,198
ปัดเป่า,1,223
การสอน,3,214
สังคีตศิลป์,3,214
แหล่งน้ำ,1,223
กระบวนการ,3,214
ยุติธรรม,1,223
ศุภลักษณ์,1,223
เพลงชำนาญ,2,198
แควน้อย,1,223
พระไวย,2,198
ชาวไทย,0,265
มือซ้าย,0,265
อินเดีย,3,214
ความจงรักภักดี,1,223
มาจาก,1,223
กีฬา,1,223
สากตำข้าว,3,214
พระแพง,0,265
ธงไทย,2,198
กิริยาท่าทาง,2,198
ลักษณะพิเศษ,0,265
พระคเณศ,1,223
นางโรย,3,214
รับสั่ง,1,223
ละครพันทาง,3,214
โอกาส,3,214
อุษา,1,223
การหลอมรวม,1,223
คืนหนึ่ง,0,265
พืชพรรณ,3,214
ทำนอง,3,214
พบปะ,3,214
ธัญญาหาร,2,198
ชาวเหนือ,0,265
พญาทูษณ์,1,223
นำเสนอ,3,214
เอาชนะ,2,198
พระเอก,1,223
มรดกวัฒนธรรม,3,214
เทพธิดา,2,198
ยูเนสโก,2,198
สมัยทวารวดี,0,265
รำคู่,3,214
ไทยศิวาลัย,3,214
พญาขร,2,198
การปั้น,3,214
ละครนอก,0,265
เครื่องดนตรีพื้นบ้าน,0,265
เพลงยอดชายใจหาญ,1,223
อีสาน,2,198
ออกศึก,0,265
อุปกรณ์,3,214
พระแม่คงคา,0,265
อิทธิพล,2,198
พี่น้อง,3,214
กลอุบาย,2,198
พระอุมา,2,198
สัญลักษณ์,2,198
สมัยโบราณ,3,214
คำร้อง,1,223
ไทยจีน,3,214
ปัตตานี,3,214
ขับร้อง,3,214
กำเริบ,1,223
ประจำปี,3,214
ผู้มีพระคุณ,0,265
บริวาร,1,223
กุณฑล,1,223
พระสังข์,0,265
น้องชาย,3,214
กระทบไม้,3,214
ริมแม่น้ำ,1,223
ออกเดินทาง,2,198
มเหสี,2,198
การขับร้อง,3,214
เพลงชาวไทย,1,223
ตารีกีปัส,2,198
สง่างาม,1,223
ครั้งสุดท้าย,2,198
หล่อหลอม,1,223
วัตถุประสงค์,3,214
งานประติมากรรม,3,214
คล่องแคล่ว,2,198
สมทบ,1,223
ทัพหน้า,0,265
ฟาดฟัน,2,198
เต้นสาก,3,214
บอกทาง,0,265
จารีตประเพณี,1,223
ความสามัคคี,3,214
การตีกลอง,0,265
นางรื่น,1,223
ย่านาง,0,265
ผลงาน,3,214
ช้างเอราวัณ,2,198
กราบทูล,2,198
ลักษณะ,0,265
สมรภูมิ,3,214
หมดแรง,1,223
ความเป็นอยู่,2,198
ตำนาน,1,223
สวัสดิมงคล,1,223
รังควาญ,1,223
ระยะเวลา,2,198
ลำเพลิน,2,198
ฟันปลา,2,198
เมืองชมพู,0,265
สิ้นชีพ,0,265
วันวาน,3,214
พิธีทางศาสนา,0,265
การดำรงชีวิต,3,214
สถานที่,1,223
หล่อเลี้ยง,3,214
ประกาศ,0,265
มหรสพ,3,214
นวัตกรรม,1,223
ล้านนา,3,214
อวตาร,3,214
เทวดา,0,265
ตารี,3,214
กองไฟ,3,214
ปราสาทพนมรุ้ง,2,198
อิทธิฤทธิ์,0,265
มรดก,0,265
ความศรัทธา,0,265
พื้นที่,1,223
สิ้นชีวิต,2,198
กลับบ้าน,1,223
เพลงลาวคำหอม,3,214
เครื่องประกอบจังหวะ,0,265
พระพรหม,0,265
คำบอกเล่า,3,214
วิชา,2,198
ทอผ้า,3,214
พลลิง,0,265
การให้กำเนิด,1,223
พระสวามี,2,198
กลยุทธ,2,198
แม่น้ำโขง,1,223
ความหมาย,3,214
กองทัพ,0,265
ไพฑูรย์,2,198
ลอยน้ำ,3,214
หน้าบัน,1,223
กรุงเทพ,0,265
ประกอบการ,0,265
กรรมวิธี,2,198
นางกินรี,1,223
การรบ,0,265
วานรินทร์,0,265
การฟ้อนรำ,3,214
ไฟไหม้,2,198
สัจจะ,1,223
ร่ายรำ,0,265
ออกรบ,0,265
กลุ่มชาติพันธุ์,1,223
ขี่ม้า,2,198
น้ำมันยาง,3,214
กตเวที,1,223
มีฤทธิ์,2,198
ฉลองพระองค์,0,265
สมัยสุโขทัย,1,223
พระอินทร์,0,265
ความสุข,2,198
การต่อสู้,2,198
พระนิพนธ์,1,223
การโปรย,1,223
ดาวดึงส์,0,265
กลางคืน,0,265
เพลงฟ้อนดวงดอกไม้,3,214
ดนตรีไทย,1,223
ชาวภูไท,0,265
ผู้พบเห็น,3,214
องคต,1,223
ลาวเวียง,0,265
พละกำลัง,1,223
ละครเสภา,3,214
ข้างใน,2,198
คำสั่ง,1,223
ธรรมชาติ,2,198
จังหวะ,0,265
ว่าการ,0,265
เลียนแบบ,2,198
ความนิยม,0,265
การร่ายรำ,1,223
งดงาม,1,223
ประเทศไทย,0,265
มวยโบราณ,0,265
ป้องกันตัว,2,198
ลิลิตพระลอ,1,223
อยุธยา,3,214
หน่อไม้,0,265
รำมาตรฐาน,2,198
จองถนน,2,198
ทหารเอก,2,198
สอดแทรก,1,223
นางพญาคำปิน,2,198
ท้าวพิชัยพิษณุกร,0,265
เพลงดวงจันทร์วันเพ็ญ,3,214
วัตถุดิบ,1,223
ความภาคภูมิใจ,1,223
นิ้วเพชร,2,198
ขีดขิน,0,265
พื้นบ้านภาคใต้,3,214
กิจกรรม,3,214
พิเภก,2,198
ไทยดุสิต,2,198
การดีด,1,223
บิดา,0,265
ขุนแผน,0,265
รัชฎา,2,198
ท้าวลัสเตียน,3,214
ประวัติศาสตร์,0,265
พระอิศวร,0,265
เขี้ยวแก้ว,0,265
กิจจะ,0,265
ตะเขิ่ง,2,198
ตะวันตก,3,214
เรื่องใหญ่,3,214
ภาคกลาง,3,214
ขอขมา,3,214
ภาคตะวันออกเฉียงเหนือ,0,265
มลายู,3,214
ไทยทรงดำ,2,198
มุกดาหาร,2,198
เวลา,3,214
พระองค์,1,223
ละครใน,3,214
กุลสตรี,2,198
ฤาษี,0,265
เพลงมอญดูดาว,2,198
เครื่องแต่งกาย,2,198
บุษราคัม,3,214
บูชายัญ,2,198
ข้าวเหนียว,2,198
สระอโนดาต,2,198
สุพรรณมัจฉา,2,198
ชื่อเรื่อง,1,223
พัดเรนัง,2,198
ดนตรี,0,265
บินหนี,1,223
ภาคอีสาน,2,198
แม่บท,1,223
ข่ายเหล็ก,0,265
ตัวจริง,1,223
ความร้อน,1,223
การขับ,0,265
ฝากตัว,0,265
ความสวยงาม,1,223
การนุ่งห่ม,2,198
นางใน,1,223
ฝ่ามือ,0,265
แม่ท่า,2,198
ขันดอก,0,265
บุรี,3,214
ผสมผสาน,2,198
เพลงหน้าพาทย์,3,214
โดยรวม,1,223
สากล,3,214
ภารตนาฏยัม,2,198
ความพร้อมเพรียง,1,223
พระมหากษัตริย์,0,265
กรุงรัตนโกสินทร์,0,265
ลำนำ,0,265
ความคิดริเริ่ม,3,214
ตามเพลง,3,214
นางฟ้า,2,198
พื้นบ้าน,3,214
การจับปลา,3,214
กาฬสินธุ์,2,198
เพลงบูชานักรบ,0,265
มัยราพณ์,2,198
เพลงฝรั่งรำเท้า,1,223
น้องสาว,2,198
วาดรูป,0,265
ภาพจิตรกรรมฝาผนัง,1,223
ทำนาย,3,214
บุหงา,0,265
เครื่องดนตรีพื้นเมือง,0,265
ปูนปั้น,1,223
รัวฉิ่ง,2,198
ให้ร้าย,2,198
นครปฐม,1,223
สำมนักขา,0,265
จัดทัพ,2,198
ลำตังหวาย,2,198
สัทธาสูร,0,265
เกษตรกรรม,3,214
หลงกล,2,198
การออกไป,0,265
หลักราชการ,0,265
เพลงฉิ่ง,1,223
ให้การ,3,214
พระเพื่อน,2,198
พลายชุมพล,2,198
วิถีชีวิต,2,198
เพลงดอกไม้ของชาติ,0,265
ประชิดตัว,2,198
ตำรา,0,265
พระเมรุ,1,223
สมบัติ,1,223
ความทรงจำ,2,198
ไทยเรือนต้น,0,265
ไปมา,2,198
ชุมพร,2,198
ศรัทธา,0,265
นางอัปสราบายน,3,214
ทรงคุณค่า,3,214
ศรพาลจันทร์,2,198
แสงอาทิตย์,0,265
กลางอากาศ,3,214
ความงดงาม,3,214
ต้นลีลาวดี,0,265
หนังใหญ่,3,214
มหาสมุทร,1,223
กินรี,1,223
การไถ,3,214
ปกป้อง,3,214
อาณาประชาราษฎร์,3,214
ระบำมาตรฐาน,0,265
เกราะลอ,1,223
เมขลา,1,223
บุรีรัมย์,1,223
สีแดง,1,223
ฉุยฉาย,3,214
กตัญญู,2,198
เทพเจ้า,2,198
รำลึก,2,198
ทะเล,3,214
กินเนสส์บุ๊ค,1,223
พระญาติ,0,265
กลายร่าง,0,265
ขัดตาทัพ,2,198
ถอยทัพ,2,198
ความสง่างาม,1,223
ท้องทะเล,3,214
ใบชา,0,265
ตะกร้อ,0,265
อาสา,0,265
ตีลังกา,1,223
บรรพบุรุษ,3,214
การเคลื่อนไหว,0,265
เคลื่อนไหว,0,265
ทางธรรมชาติ,2,198
ที่รวม,0,265
ดอกไม้,1,223
การละเล่นพื้นเมือง,2,198
โปงลาง,0,265
ชาวนา,0,265
วิชนี,0,265
จำกาย,0,265
รัชกาล,1,223
พรหมาสตร์,1,223
นางสวาหะ,2,198
วิธี,0,265
ตอนนี้,2,198
ลายเส้น,2,198
สงคราม,0,265
เดินทาง,2,198
สีน้ำเงิน,1,223
พระราชบัญชา,0,265
ความห่วงใย,1,223
บันเทิงใจ,1,223
นาฏศิลป์,3,214
วันทอง,0,265
นาฏศิลป์อินเดีย,3,214
แว่นแก้วสุรกานต์,1,223
อุปราช,2,198
ดอกไม้เงิน,3,214
ภาคเหนือ,3,214
ผูกพัน,1,223
เพลงคืนเดือนหงาย,3,214
รักสนุก,1,223
แปลงกาย,0,265
ฤดูฝน,0,265
เทพนิยาย,0,265
โอรส,2,198
เขาไกลลาศ,1,223
ไทยอมรินทร์,2,198
พวงมาลัย,0,265
กาญจนบุรี,2,198
ที่นั่ง,2,198
โดดเด่น,2,198
เอกลักษณ์,1,223
มารีศ,1,223
ผู้ครองนคร,0,265
ไพร่พล,1,223
อารยธรรม,2,198
อินโดนีเซีย,0,265
ฤดูกาล,3,214
ปิดหน้า,0,265
ลูกไม้,0,265
ที่รัก,0,265
เล่นน้ำ,2,198
ร่วมใน,3,214
หลบหนี,3,214
โปรตุเกส,3,214
ภาพจำหลัก,0,265
กิจวัตร,2,198
การเก็บใบชา,0,265
บรรดา,0,265
บุตรชาย,1,223
ศิลปินแห่งชาติ,0,265
วังหน้า,2,198
เจ้าพระยา,0,265
กากนาสูร,1,223
ความเชื่อ,0,265
กิจการงาน,0,265
รจนา,1,223
กวางทอง,0,265
นิลพาหุ,1,223
พระเจ้าชัยวรมัน,2,198
สืบทอด,3,214
สภาพอากาศ,0,265
แม่น้ำ,3,214
เปรียบเสมือน,3,214
ประเพณี,0,265
การยุติ,3,214
ประทาน,3,214
อากัปกิริยา,2,198
ความรื่นเริง,1,223
หน้าที่,3,214
ขั้นพื้นฐาน,1,223
นึกถึง,3,214
หาทาง,3,214
ภาคใต้,3,214
กรมศิลปากร,3,214
ความกตัญญู,3,214
บรรยากาศ,1,223
มีความหมาย,1,223
เดินอากาศ,1,223
ว่องไว,2,198
พิธี,1,223
หายตัว,0,265
บูชาครู,0,265
ผึ่งแดด,2,198
เจ้าเงาะ,0,265
แรงบันดาลใจ,3,214
แบบอย่าง,3,214
ศิลปะการแสดง,0,265
กาลสูร,3,214
ลอยกระทง,1,223
ศีรษะ,2,198
การขึ้นลอย,0,265
ตัวพระ,0,265
เป็นบ้า,0,265
วิรุญจำบัง,3,214
ความวิจิตร,1,223
พื้นผิว,2,198
ความสมบูรณ์,2,198
หลากหลาย,1,223
ยมะ,1,223
ปราสาทเมืองสิงห์,2,198
ปราสาทหินพิมาย,0,265
พื้นฐาน,2,198
โมโห,3,214
รามเกียรติ์,0,265
ผู้มาเยือน,1,223
การเกี้ยวพาราสี,1,223
ไทยบรมพิมาน,2,198
การทอ,3,214
ต้นไม้,0,265
การอนุรักษ์,3,214
ความตระหนัก,1,223
ที่อยู่,2,198
ไม้ยาว,0,265
วานร,1,223
อาจารย์,0,265
โกเมน,1,223
กรับพวง,3,214
ไทยจักรพรรดิ์,2,198
พระชายา,1,223
สมควร,1,223
มือขวา,2,198
จีนรัว,0,265
มณีพิชัย,2,198
คนไทย,2,198
แมนสรวง,0,265
นานาชาติ,1,223
นาฏกรรม,3,214
สวามิภักดิ์,2,198
สำเนียง,0,265
พาลี,3,214
นครศรีธรรมราช,2,198
ผางประทีป,0,265
ฟองน้ำ,1,223
ท่วงทำนอง,3,214
โอดิสสี,2,198
ความรัก,1,223
กุมภกรรณ,2,198
ความเรียบง่าย,1,223
พญาผานอง,0,265
ผู้ใช้,0,265
เพลงไทย,3,214
ละครดึกดำบรรพ์,0,265
เป็นต้นแบบ,3,214
เขาสัตภัณฑ์,3,214
ผู้แสดงฝ่ายหญิง,0,265
สิ่งชั่วร้าย,1,223
ขึ้นไป,0,265
ไทภูเขา,0,265
ชามพูวราช,0,265
ไหล่เขา,0,265
แต่งกาย,0,265
พระลักษมณ์,1,223
ฤทธิ์เดช,0,265
สังหาร,0,265
จารึก,3,214
ข่ายเพชร,0,265
รามสูร,2,198
หมู่เกาะ,3,214
เป็นครั้งแรก,1,223
ความสำนึก,1,223
บทร้อง,3,214
ศรพรหมาสตร์,2,198
คุณค่า,1,223
งานแต่งงาน,1,223
รูปนอก,1,223
ปราสาทพระขรรค์,2,198
ทิศตะวันออก,0,265
รำเดี่ยว,0,265
กระบวนท่ารำ,0,265
แม่ไม้มวย,0,265
มงคล,1,223
ยอพระกลิ่น,2,198
งานรื่นเริง,2,198
หนุมาน,1,223
เวที,3,214
กลุ่มชน,2,198
รำพัด,0,265
ค่านิยม,1,223
จุดไฟ,1,223
รุทการ,3,214
ออกอุบาย,0,265
ดินแดน,0,265
วิถี,1,223
เชิงมวย,0,265
เรื่องราว,1,223
เชียงใหม่,3,214
แก้แค้น,1,223
ชายหนุ่ม,2,198
การรำ,3,214
บทละคร,3,214
ความคล่องแคล่ว,1,223
เพลงอัตราจังหวะสองชั้น,1,223
ศิลปกรรม,2,198
น้อยใจยา,2,198
ศิลปะ,3,214
พระราชธิดา,2,198
ประติมากรรม,3,214
ภาษามลายู,3,214
ย่องหงิด,3,214
