critic,lvl1,lvl2,lvl3,canonical_key,is_base_item
gpt,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ตัวละคร | นามานุกรม || ปกรณ์ | อมนุษย์ | อสูร | เทว,True
gpt,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักในบทละคร,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ตัวละคร | นามานุกรม || ตัวละคร | บทละคร | หลัก | ใน,False
gpt,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ทางสังคม | ลำดับชั้น | วรรณกรรม | สถานภาพ | ใน || ฐานันดรศักดิ์ | ระบบเครือญาติ,True
gpt,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,ดนตรี | ศิลปะการแสดง || การแสดง | นาฏย | ศิลป์ || กระบวนท่า | การแสดง | จารีต | รำ,True
gpt,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,ดนตรี | ศิลปะการแสดง || การแสดง | นาฏย | ศิลป์ || การแสดง | ท้องถิ่น | นาฏศิลป์,True
gpt,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ดนตรี | ศิลปะการแสดง || คีตศิลป์ | ดุริยางคศิลป์ || ดนตรี | บทเพลง | ระเบียบวิธี,True
gpt,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,ดนตรี | ศิลปะการแสดง || คีตศิลป์ | ดุริยางคศิลป์ || วงดนตรี | เครื่องดนตรี,True
gpt,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,ดนตรี | ศิลปะการแสดง || ทักษะ | บุคลากร | ศิลปะ || กลวิธี | การแสดง | สมรรถนะ,True
gpt,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || ความเชื่อ | ระบบ | ศาสนา || คติ | ศาสนา | สิ่งศักดิ์สิทธิ์,True
gpt,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || จารีตประเพณี | พิธีกรรม || จารีต | ทางสังคม | พิธีการ | สำคัญ,True
gpt,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || คติ | ความเชื่อ | ไสยศาสตร์ || การ | ขจัด | ปัดเป่า | อำนาจเหนือธรรมชาติ,True
gpt,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ภูมิศาสตร์ | อาณาบริเวณ || ปกครอง | ภูมิภาค | เขต,True
gpt,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ภูมิศาสตร์ | อาณาบริเวณ || คติ | ความเชื่อ | ประวัติศาสตร์ | พื้นที่ | ใน,True
gpt,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ยุคสมัย | สำคัญ | เหตุการณ์ || การสงคราม | ประวัติศาสตร์ | ลำดับ | เวลา,True
gpt,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ทางวัฒนธรรม | พื้นที่ | สถาบัน || จัดแสดง | พระ | ราชฐาน | สถานที่ | เขต,True
gpt,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || ทัศนศิลป์ | ประณีต | ศิลป์ || งาน | ช่าง | วิธี | ศิลปกรรม | เทคนิค,True
gpt,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || พุทธ | ศิลป์ | สถาปัตยกรรม || ปูชนียวัตถุ | ศาสนสถาน,True
gpt,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || ตรา | พัส | ภรณ์ | เครื่องแต่งกาย || จำลอง | ระเบียบการ | อาวุธ | แต่งกาย,True
gpt,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || วัสดุ | อัญมณี || ธรรมชาติ | รัตนชาติ | วัสดุ,True
gpt,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || กลุ่มคน | ทางสังคม | อัตลักษณ์ || กลุ่มชาติพันธุ์ | ชุมชน | ท้องถิ่น,True
gpt,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || บุคคล | สำคัญ | โครงสร้างสังคม || ฐานันดรศักดิ์ | ทางสังคม | บทบาท,True
gpt,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || ระบบเศรษฐกิจ | วิถีชีวิต || การ | ประกอบอาชีพ | โภชนาการ,True
gpt,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || ทางสังคม | พฤติกรรม | วิถีชีวิต || การปฏิบัติ | จารีต | พรรณไม้ | วิถีชีวิต | ใน,True
qwen,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ตัวละคร | นามานุกรม || ปกรณ์ | อมนุษย์ | อสูร | เทว,True
qwen,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ตัวละคร | นามานุกรม || ตัวละคร | บทบาท | บทละคร | หลัก | ใน,True
qwen,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ทางสังคม | ลำดับชั้น | วรรณกรรม | สถานภาพ | ใน || ฐานันดรศักดิ์ | ระบบเครือญาติ,True
qwen,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,ดนตรี | ศิลปะการแสดง || การแสดง | นาฏย | ศิลป์ || กระบวนท่า | การแสดง | จารีต | รำ,True
qwen,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,ดนตรี | ศิลปะการแสดง || การแสดง | นาฏย | ศิลป์ || การแสดง | ท้องถิ่น | นาฏศิลป์,True
qwen,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ดนตรี | ศิลปะการแสดง || คีตศิลป์ | ดุริยางคศิลป์ || ดนตรี | บทเพลง | ระเบียบวิธี,True
qwen,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,ดนตรี | ศิลปะการแสดง || คีตศิลป์ | ดุริยางคศิลป์ || วงดนตรี | เครื่องดนตรี,True
qwen,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,ดนตรี | ศิลปะการแสดง || ทักษะ | บุคลากร | ศิลปะ || กลวิธี | การแสดง | สมรรถนะ,True
qwen,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || ความเชื่อ | ระบบ | ศาสนา || คติ | ศาสนา | สิ่งศักดิ์สิทธิ์,True
qwen,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || จารีตประเพณี | พิธีกรรม || จารีต | ทางสังคม | พิธีการ | สำคัญ,True
qwen,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || คติ | ความเชื่อ | ไสยศาสตร์ || การ | ขจัด | ปัดเป่า | อำนาจเหนือธรรมชาติ,True
qwen,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ภูมิศาสตร์ | อาณาบริเวณ || ปกครอง | ภูมิภาค | เขต,True
qwen,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ภูมิศาสตร์ | อาณาบริเวณ || คติ | ความเชื่อ | ประวัติศาสตร์ | พื้นที่ | ใน,True
qwen,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ยุคสมัย | สำคัญ | เหตุการณ์ || การสงคราม | ประวัติศาสตร์ | ลำดับ | เวลา,True
qwen,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ทางวัฒนธรรม | พื้นที่ | สถาบัน || จัดแสดง | พระ | ราชฐาน | สถานที่ | เขต,True
qwen,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || ทัศนศิลป์ | ประณีต | ศิลป์ || งาน | ช่าง | วิธี | ศิลปกรรม | เทคนิค,True
qwen,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || พุทธ | ศิลป์ | สถาปัตยกรรม || ปูชนียวัตถุ | ศาสนสถาน,True
qwen,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || ตรา | พัส | ภรณ์ | เครื่องแต่งกาย || จำลอง | ระเบียบการ | อาวุธ | แต่งกาย,True
qwen,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || วัสดุ | อัญมณี || ธรรมชาติ | รัตนชาติ | วัสดุ,True
qwen,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || กลุ่มคน | ทางสังคม | อัตลักษณ์ || กลุ่มชาติพันธุ์ | ชุมชน | ท้องถิ่น,True
qwen,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || บุคคล | สำคัญ | โครงสร้างสังคม || ฐานันดรศักดิ์ | ทางสังคม | บทบาท,True
qwen,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || ระบบเศรษฐกิจ | วิถีชีวิต || การ | ประกอบอาชีพ | โภชนาการ,True
qwen,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || ทางสังคม | พฤติกรรม | วิถีชีวิต || การปฏิบัติ | จารีต | พรรณไม้ | วิถีชีวิต | ใน,True
deepseek,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ตัวละคร | นามานุกรม || ปกรณ์ | อมนุษย์ | อสูร | เทว,True
deepseek,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ตัวละคร | นามานุกรม || ตัวละคร | บทบาท | บทละคร | หลัก | ใน,True
deepseek,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,ตำนาน | วรรณคดี | สิ่งมีชีวิต || ทางสังคม | ลำดับชั้น | วรรณกรรม | สถานภาพ | ใน || ฐานันดรศักดิ์ | ระบบเครือญาติ,True
deepseek,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,ดนตรี | ศิลปะการแสดง || การแสดง | นาฏย | ศิลป์ || กระบวนท่า | การแสดง | จารีต | รำ,True
deepseek,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,ดนตรี | ศิลปะการแสดง || การแสดง | นาฏย | ศิลป์ || การแสดง | ท้องถิ่น | นาฏศิลป์,True
deepseek,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ดนตรี | ศิลปะการแสดง || คีตศิลป์ | ดุริยางคศิลป์ || ดนตรี | บทเพลง | ระเบียบวิธี,True
deepseek,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,ดนตรี | ศิลปะการแสดง || คีตศิลป์ | ดุริยางคศิลป์ || วงดนตรี | เครื่องดนตรี,True
deepseek,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,ดนตรี | ศิลปะการแสดง || ทักษะ | บุคลากร | ศิลปะ || กลวิธี | การแสดง | สมรรถนะ,True
deepseek,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || ความเชื่อ | ระบบ | ศาสนา || คติ | ศาสนา | สิ่งศักดิ์สิทธิ์,True
deepseek,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || จารีตประเพณี | พิธีกรรม || จารีต | ทางสังคม | พิธีการ | สำคัญ,True
deepseek,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,ความเชื่อ | จารีต | พิธีกรรม | วัฒนธรรม || คติ | ความเชื่อ | ไสยศาสตร์ || การ | ขจัด | ปัดเป่า | อำนาจเหนือธรรมชาติ,True
deepseek,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ภูมิศาสตร์ | อาณาบริเวณ || ปกครอง | ภูมิภาค | เขต,True
deepseek,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ภูมิศาสตร์ | อาณาบริเวณ || คติ | ความเชื่อ | ประวัติศาสตร์ | พื้นที่ | ใน,True
deepseek,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ยุคสมัย | สำคัญ | เหตุการณ์ || การสงคราม | ประวัติศาสตร์ | ลำดับ | เวลา,True
deepseek,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,บริบท | ประวัติศาสตร์ | พื้นที่ | ภูมิศาสตร์ || ทางวัฒนธรรม | พื้นที่ | สถาบัน || จัดแสดง | พระ | ราชฐาน | สถานที่ | เขต,True
deepseek,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || ทัศนศิลป์ | ประณีต | ศิลป์ || งาน | ช่าง | วิธี | ศิลปกรรม | เทคนิค,True
deepseek,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || พุทธ | ศิลป์ | สถาปัตยกรรม || ปูชนียวัตถุ | ศาสนสถาน,True
deepseek,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || ตรา | พัส | ภรณ์ | เครื่องแต่งกาย || จำลอง | ระเบียบการ | อาวุธ | แต่งกาย,True
deepseek,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,งาน | ช่าง | วัฒนธรรม | วัตถุ | ศิลปกรรม || วัสดุ | อัญมณี || ธรรมชาติ | รัตนชาติ | วัสดุ,True
deepseek,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || กลุ่มคน | ทางสังคม | อัตลักษณ์ || กลุ่มชาติพันธุ์ | ชุมชน | ท้องถิ่น,True
deepseek,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || บุคคล | สำคัญ | โครงสร้างสังคม || ฐานันดรศักดิ์ | ทางสังคม | บทบาท,True
deepseek,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || ระบบเศรษฐกิจ | วิถีชีวิต || การ | ประกอบอาชีพ | โภชนาการ,True
deepseek,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ | ชุมชน | วิถีชีวิต || ทางสังคม | พฤติกรรม | วิถีชีวิต || การปฏิบัติ | จารีต | พรรณไม้ | วิถีชีวิต | ใน,True
