word,consensus_label,agreement,n_models
กรมศิลปากร,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||พื้นที่ทางวัฒนธรรมและสถาบัน||สถานที่จัดแสดงและเขตพระราชฐาน,0.25,4
กระทบไม้,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,0.5,4
กระทุ้ง,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,0.5,4
กระบวนท่ารำ,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,1.0,4
กรับพวง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,0.5,4
กราบทูล,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม||ฐานันดรศักดิ์และระบบเครือญาติ,0.5,4
กราววีรชัยลิง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.5,4
กรุงรัตนโกสินทร์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,0.75,4
กรุงลงกา,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.5,4
กรุงเทพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,1.0,4
กรุงเทพมหานคร,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,1.0,4
กลองยาว,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,0.75,4
กลองสะบัดชัย,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,1.0,4
กลอุบาย,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,0.5,4
กลับบ้าน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.75,4
กลางคืน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4
กลายร่าง,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,0.5,4
กลุ่มชาติพันธุ์,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4
กวางทอง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,1.0,4
กสิกรรม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
กองทัพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4
กองไฟ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.75,4
กะลา,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,0.5,4
กากนาสูร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,1.0,4
กาญจนบุรี,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,1.0,4
การขับร้อง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4
การขึ้นลอย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.5,4
การจับปลา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
การดีด,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,0.5,4
การตีกลอง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,0.75,4
การต่อสู้,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,0.75,4
การทอ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,0.5,4
การทำขวัญ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,1.0,4
การนุ่งห่ม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,1.0,4
การปั้น,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,1.0,4
การรบ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4
การร่อนแร่,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
การละเล่นพื้นเมือง,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,0.5,4
การศึก,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4
การสอน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4
การุณราช,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.25,4
การเกี้ยวพาราสี,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.5,4
การเก็บใบชา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
การโปรย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,1.0,4
การไถ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
กาลสูร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.75,4
กาฬสินธุ์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,1.0,4
กิจจะ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.75,4
กิจวัตร,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.75,4
กินรี,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,1.0,4
กินเนสส์บุ๊ค,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.25,4
กุณฑล,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,0.75,4
กุมภกรรณ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,1.0,4
กุลสตรี,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,0.5,4
ขนเพชร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.5,4
ขบวนแห่,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,1.0,4
ขอขมา,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,1.0,4
ของที่ระลึก,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,0.5,4
ของป่า,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,0.75,4
ขัดตาทัพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,0.75,4
ขันดอก,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.75,4
ขับร้อง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4
ขับลำ,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4
ขับไล่,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,0.5,4
ขีดขิน,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||พื้นที่ในคติความเชื่อและประวัติศาสตร์,0.25,4
ขี่ม้า,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.75,4
ขึ้นทะเบียน,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.25,4
ขุนช้าง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,1.0,4
ขุนแผน,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,1.0,4
ข่ายเพชร,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,0.5,4
ข่ายเหล็ก,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,0.5,4
ข้าวเหนียว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
ข้าศึก,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,0.75,4
ข้าหลวง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,0.75,4
ความคล่องแคล่ว,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,0.75,4
คำร้อง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4
คู่ต่อสู้,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,1.0,4
คู่ใจ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4
ค้าขาย,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
งานประติมากรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,1.0,4
งานรื่นเริง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4
งานแต่งงาน,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,1.0,4
จนตาย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.5,4
จองถนน,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.5,4
จัดทัพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4
จับนาง,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,0.5,4
จับระบำ,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,1.0,4
จารึก,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,0.75,4
จำกาย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,0.25,4
จำแลง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.5,4
จิตรกรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,1.0,4
จีนรัว,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.75,4
จีนรำพัด,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,0.5,4
จุดไฟ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.75,4
ฉลองพระองค์,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,1.0,4
ฉุยฉาย,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,0.5,4
ชั้นเชิง,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,0.75,4
ชั้นเดียว,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||สถาปัตยกรรมและพุทธศิลป์||ศาสนสถานและปูชนียวัตถุ,0.5,4
ชาติพันธุ์,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4
ชามพูวราช,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.5,4
ชายหนุ่ม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,0.75,4
ชาวนา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,1.0,4
ชาวพื้นเมือง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4
ชาวภูไท,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4
ชาวเขา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4
ชาวเหนือ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4
ชุมนุม,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.25,4
ชุมพร,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,1.0,4
ช่อดอกไม้,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,0.5,4
ช้างเอราวัณ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,1.0,4
ดนตรีพื้นบ้าน,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.5,4
ดนตรีไทย,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.75,4
ดวงแก้ว,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,1.0,4
ดอกไม้,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,1.0,4
ดอกไม้เงิน,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,0.5,4
ดาวดึงส์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.5,4
ดินดาล,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,0.25,4
ตะกร้อ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4
ตะเขิ่ง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,0.75,4
ตัวต่อตัว,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,0.5,4
ตัวพระ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,0.75,4
ตามเพลง,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,0.5,4
ตารี,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,0.5,4
ตารีกีปัส,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,0.5,4
ตารีบุหงา,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,0.5,4
ตำนาน,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.75,4
ติดมือ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,0.5,4
ตีลังกา,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,0.75,4
ต่อสู้,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,0.25,4
ต้นขา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4
ต้นรัง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.75,4
ต้นลีลาวดี,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,1.0,4
ถอยทัพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,0.75,4
ทศกัณฐ์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,0.75,4
ทหารเอก,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,0.75,4
ทอผ้า,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,0.5,4
ทะเล,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||พื้นที่ในคติความเชื่อและประวัติศาสตร์,0.75,4
ทับทิม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,0.75,4
ทับหลัง,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||สถาปัตยกรรมและพุทธศิลป์||ศาสนสถานและปูชนียวัตถุ,1.0,4
ทัพหน้า,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4
ทางธรรมชาติ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.25,4
ทำนอง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4
ทำนองเพลง,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4
ทำนาย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,0.75,4
ทำพิธี,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,1.0,4
ทิพยวิมาน,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||พื้นที่ในคติความเชื่อและประวัติศาสตร์,0.5,4
